,engagement_id,customer_id,service_id,quantity,billed_amount,engagement_date,recorded_by
45,ENG10045,CUST1050,PROD001,1,59137.5,2025-03-14,FinMark BI Team
46,ENG10046,CUST1006,PROD014,2,70736.26,2024-12-24,FinMark BI Team
48,ENG10048,CUST1072,PROD014,2,45795.86,2024-01-05,FinMark BI Team
49,ENG10049,CUST1038,PROD004,3,60378.0,2024-09-17,FinMark BI Team
50,ENG10050,CUST1017,PROD001,2 units,36522.87,2024-04-04,FinMark BI Team
51,ENG10051,CUST1003,PROD019,1,38378.81,2022-04-16,FinMark BI Team
52,ENG10052,CUST1088,PROD008,1,67339.11,2022-06-30,FinMark BI Team
53,ENG10053,CUST1059,PROD015,1,46785.17,2022-07-03,FinMark BI Team
54,ENG10054,CUST1013,PROD015,1,67902.82,2022-08-14,FinMark BI Team
55,ENG10055,CUST1008,PROD009,2,69345.34,2024-02-16,FinMark BI Team
56,ENG10056,CUST1089,PROD009,2,71453.74,2024-02-29,FinMark BI Team
57,ENG10057,CUST1052,PROD010,1,74998.11,2025-01-17,FinMark BI Team
58,ENG10058,CUST1001,PROD020,1,45859.11,2023-11-19,FinMark BI Team
59,ENG10059,CUST1083,PROD009,1,39132.01,2023-06-14,FinMark BI Team
61,ENG10061,CUST1059,PROD020,1,42270.35,2024-08-29,FinMark BI Team
62,ENG10062,CUST1070,PROD011,1,56064.45,2024-07-24,FinMark BI Team
64,ENG10064,CUST1007,PROD002,3,61304.3,2022-04-16,FinMark BI Team
66,ENG10066,CUST1034,PROD018,2 units,30011.61,2024-04-10,FinMark BI Team
67,ENG10067,CUST1077,PROD002,1,45831.76,2023-11-10,FinMark BI Team
68,ENG10068,CUST1080,PROD017,3,28555.65,2024-04-28,FinMark BI Team
69,ENG10069,CUST1035,PROD011,2 units,73405.82,2024-11-21,FinMark BI Team
70,ENG10070,CUST1049,PROD012,2 units,40752.65,2023-01-28,FinMark BI Team
71,ENG10071,CUST1003,PROD019,1,29267.58,2022-02-09,FinMark BI Team
72,ENG10072,CUST1001,PROD007,3,21526.87,2023-10-22,FinMark BI Team
73,ENG10073,CUST1005,PROD020,3,58749.34,2025-05-26,FinMark BI Team
74,ENG10074,CUST1053,PROD006,2 units,58214.14,2024-09-07,FinMark BI Team
75,ENG10075,CUST1003,PROD001,1,40436.25,2025-01-10,FinMark BI Team
76,ENG10076,CUST1053,PROD017,2,24302.71,2024-04-24,FinMark BI Team
77,ENG10077,CUST1092,PROD011,2,44577.73,2022-07-20,FinMark BI Team
78,ENG10078,CUST1062,PROD018,3,38673.05,2023-03-23,FinMark BI Team
80,ENG10080,CUST1089,PROD007,3,56346.75,2024-11-27,FinMark BI Team
81,ENG10081,CUST1043,PROD017,3,41875.62,2025-05-19,FinMark BI Team
82,ENG10082,CUST1033,PROD020,3,33073.55,2023-03-20,FinMark BI Team
84,ENG10084,CUST1061,PROD017,3,47240.1,2024-01-31,FinMark BI Team
85,ENG10085,CUST1099,PROD020,2 units,61296.45,2022-08-15,FinMark BI Team
86,ENG10086,CUST1013,PROD008,1,28433.18,2022-02-17,FinMark BI Team
87,ENG10087,CUST1094,PROD017,1,49135.38,2024-11-07,FinMark BI Team
88,ENG10088,CUST1047,PROD007,3,21652.2,2024-06-30,FinMark BI Team
89,ENG10089,CUST1014,PROD001,1,50327.31,2022-07-06,FinMark BI Team
90,ENG10090,CUST1071,PROD013,2,77841.04,2022-12-11,FinMark BI Team
91,ENG10091,CUST1077,PROD019,2,43052.4,2022-08-12,FinMark BI Team
92,ENG10092,CUST1086,PROD019,1,22339.76,2024-04-09,FinMark BI Team
93,ENG10093,CUST1061,PROD017,2,21857.35,2023-05-03,FinMark BI Team
94,ENG10094,CUST1039,PROD013,1,43279.21,2024-05-26,FinMark BI Team
95,ENG10095,CUST1084,PROD016,1,29601.5,2024-04-28,FinMark BI Team
98,ENG10098,CUST1052,PROD018,1,47511.38,2024-09-05,FinMark BI Team
99,ENG10099,CUST1023,PROD001,3,37354.69,2024-10-13,FinMark BI Team
100,ENG10100,CUST1025,PROD014,1,74004.99,2022-07-07,FinMark BI Team
101,ENG10101,CUST1088,PROD019,1,26968.34,2022-09-27,FinMark BI Team
102,ENG10102,CUST1059,PROD015,1,77355.13,2022-11-06,FinMark BI Team
103,ENG10103,CUST1040,PROD018,2,38838.0,2025-03-01,FinMark BI Team
104,ENG10104,CUST1028,PROD002,3,73304.22,2024-12-31,FinMark BI Team
105,ENG10105,CUST1014,PROD017,3,56176.57,2024-04-24,FinMark BI Team
106,ENG10106,CUST1044,PROD018,1,69602.44,2025-04-25,FinMark BI Team
107,ENG10107,CUST1064,PROD006,1,79040.79,2023-05-01,FinMark BI Team
108,ENG10108,CUST1088,PROD019,2,37304.33,2025-04-29,FinMark BI Team
110,ENG10110,CUST1008,PROD001,2,43368.91,2022-04-30,FinMark BI Team
111,ENG10111,CUST1087,PROD008,3,43130.71,2022-08-08,FinMark BI Team
112,ENG10112,CUST1000,PROD007,3,40423.23,2022-02-22,FinMark BI Team
115,ENG10115,CUST1062,PROD010,3,53222.69,2024-01-28,FinMark BI Team
116,ENG10116,CUST1010,PROD019,2 units,52502.29,2024-01-08,FinMark BI Team
117,ENG10117,CUST1080,PROD014,2 units,65714.11,2023-12-21,FinMark BI Team
118,ENG10118,CUST1007,PROD002,2,70019.0,2023-02-10,FinMark BI Team
119,ENG10119,CUST1034,PROD001,3,46426.48,2023-08-31,FinMark BI Team
120,ENG10120,CUST1034,PROD018,2 units,38139.99,2024-10-17,FinMark BI Team
121,ENG10121,CUST1032,PROD007,2,35560.09,2023-02-26,FinMark BI Team
122,ENG10122,CUST1004,PROD008,3,31677.43,2023-12-13,FinMark BI Team
123,ENG10123,CUST1040,PROD001,1,23458.85,2022-09-04,FinMark BI Team
124,ENG10124,CUST1027,PROD003,2 units,40546.88,2022-03-13,FinMark BI Team
125,ENG10125,CUST1006,PROD008,1,36214.86,2022-07-04,FinMark BI Team
126,ENG10126,CUST1072,PROD015,3,77985.04,2022-01-06,FinMark BI Team
127,ENG10127,CUST1071,PROD005,2 units,53462.53,2025-05-14,FinMark BI Team
128,ENG10128,CUST1011,PROD003,3,40836.62,2024-06-24,FinMark BI Team
129,ENG10129,CUST1033,PROD019,1,54828.06,2023-01-22,FinMark BI Team
130,ENG10130,CUST1032,PROD001,2 units,28351.8,2023-11-30,FinMark BI Team
131,ENG10131,CUST1047,PROD015,1,46642.62,2025-01-04,FinMark BI Team
132,ENG10132,CUST1022,PROD008,3,57574.06,2025-04-15,FinMark BI Team
133,ENG10133,CUST1061,PROD002,3,49333.87,2024-04-06,FinMark BI Team
134,ENG10134,CUST1087,PROD003,1,44106.73,2022-12-15,FinMark BI Team
136,ENG10136,CUST1098,PROD014,1,72818.89,2022-11-04,FinMark BI Team
138,ENG10138,CUST1085,PROD016,1,54162.64,2025-02-24,FinMark BI Team
139,ENG10139,CUST1090,PROD004,3,57239.63,2022-10-14,FinMark BI Team
140,ENG10140,CUST1034,PROD020,1,32078.73,2024-02-05,FinMark BI Team
141,ENG10141,CUST1064,PROD005,2 units,43708.26,2023-12-26,FinMark BI Team
142,ENG10142,CUST1098,PROD014,2 units,22367.57,2024-02-01,FinMark BI Team
143,ENG10143,CUST1046,PROD016,1,48532.76,2023-01-18,FinMark BI Team
145,ENG10145,CUST1002,PROD007,2 units,33664.98,2023-01-23,FinMark BI Team
146,ENG10146,CUST1000,PROD010,3,77841.73,2023-06-09,FinMark BI Team
147,ENG10147,CUST1004,PROD007,2 units,74567.28,2023-10-01,FinMark BI Team
148,ENG10148,CUST1089,PROD001,3,63328.59,2024-07-26,FinMark BI Team
149,ENG10149,CUST1013,PROD019,1,52003.2,2022-10-03,FinMark BI Team
150,ENG10150,CUST1026,PROD016,1,72198.15,2023-05-15,FinMark BI Team
151,ENG10151,CUST1008,PROD019,3,27839.14,2023-12-18,FinMark BI Team
152,ENG10152,CUST1078,PROD004,1,67430.59,2022-12-03,FinMark BI Team
153,ENG10153,CUST1014,PROD018,3,27489.25,2024-07-20,FinMark BI Team
154,ENG10154,CUST1089,PROD002,2,67652.64,2023-04-26,FinMark BI Team
155,ENG10155,CUST1041,PROD001,2 units,36546.05,2024-06-29,FinMark BI Team
157,ENG10157,CUST1050,PROD005,3,76642.53,2024-12-17,FinMark BI Team
159,ENG10159,CUST1095,PROD011,3,47760.54,2022-04-19,FinMark BI Team
161,ENG10161,CUST1095,PROD002,2 units,49004.45,2022-11-24,FinMark BI Team
162,ENG10162,CUST1003,PROD003,2 units,71812.85,2022-11-11,FinMark BI Team
163,ENG10163,CUST1093,PROD012,2 units,55323.89,2025-02-08,FinMark BI Team
164,ENG10164,CUST1022,PROD020,3,42519.79,2023-11-30,FinMark BI Team
165,ENG10165,CUST1014,PROD005,2 units,37147.01,2024-02-20,FinMark BI Team
167,ENG10167,CUST1028,PROD006,2,65707.89,2022-06-05,FinMark BI Team
169,ENG10169,CUST1012,PROD002,1,50676.53,2024-06-05,FinMark BI Team
170,ENG10170,CUST1031,PROD012,2,49539.53,2024-10-22,FinMark BI Team
171,ENG10171,CUST1070,PROD003,2,54636.74,2024-01-28,FinMark BI Team
172,ENG10172,CUST1058,PROD020,3,71934.63,2023-12-23,FinMark BI Team
173,ENG10173,CUST1085,PROD012,3,78844.36,2024-07-01,FinMark BI Team
175,ENG10175,CUST1065,PROD010,2,69651.14,2024-05-20,FinMark BI Team
176,ENG10176,CUST1041,PROD014,2,65871.67,2022-01-13,FinMark BI Team
177,ENG10177,CUST1044,PROD017,2 units,54411.74,2023-08-31,FinMark BI Team
178,ENG10178,CUST1061,PROD018,3,77362.83,2023-05-13,FinMark BI Team
179,ENG10179,CUST1056,PROD019,3,32028.47,2022-08-26,FinMark BI Team
180,ENG10180,CUST1005,PROD017,3,26555.85,2025-01-22,FinMark BI Team
182,ENG10182,CUST1027,PROD009,2 units,46348.99,2024-02-20,FinMark BI Team
183,ENG10183,CUST1043,PROD008,3,70818.13,2025-04-09,FinMark BI Team
184,ENG10184,CUST1083,PROD002,3,73585.41,2023-08-29,FinMark BI Team
185,ENG10185,CUST1029,PROD013,3,23747.46,2023-10-23,FinMark BI Team
186,ENG10186,CUST1061,PROD007,1,73007.89,2024-04-28,FinMark BI Team
187,ENG10187,CUST1074,PROD009,1,46899.14,2024-07-24,FinMark BI Team
188,ENG10188,CUST1091,PROD011,2,50625.95,2023-09-20,FinMark BI Team
189,ENG10189,CUST1088,PROD014,2 units,57595.55,2022-05-23,FinMark BI Team
190,ENG10190,CUST1061,PROD004,2,75582.96,2025-05-09,FinMark BI Team
191,ENG10191,CUST1096,PROD013,2 units,21146.97,2025-04-18,FinMark BI Team
192,ENG10192,CUST1000,PROD002,1,48610.61,2023-12-15,FinMark BI Team
194,ENG10194,CUST1061,PROD011,2,63362.42,2023-04-24,FinMark BI Team
195,ENG10195,CUST1076,PROD006,3,61551.95,2023-07-19,FinMark BI Team
196,ENG10196,CUST1002,PROD018,2,28066.11,2023-04-16,FinMark BI Team
197,ENG10197,CUST1069,PROD010,1,37963.74,2023-01-19,FinMark BI Team
198,ENG10198,CUST1071,PROD004,1,41522.93,2024-07-14,FinMark BI Team
199,ENG10199,CUST1026,PROD009,1,68266.23,2023-02-21,FinMark BI Team
200,ENG10200,CUST1008,PROD006,2,36725.59,2022-11-04,FinMark BI Team
201,ENG10201,CUST1061,PROD002,2 units,32642.3,2023-10-11,FinMark BI Team
203,ENG10203,CUST1096,PROD005,2 units,20531.8,2024-10-21,FinMark BI Team
204,ENG10204,CUST1050,PROD006,2,79869.25,2024-12-03,FinMark BI Team
205,ENG10205,CUST1043,PROD012,2,60609.28,2024-01-09,FinMark BI Team
206,ENG10206,CUST1023,PROD010,1,69708.16,2025-01-26,FinMark BI Team
208,ENG10208,CUST1058,PROD008,3,20858.92,2022-05-20,FinMark BI Team
210,ENG10210,CUST1095,PROD012,3,70048.68,2024-08-31,FinMark BI Team
211,ENG10211,CUST1087,PROD013,2,64428.57,2024-10-13,FinMark BI Team
212,ENG10212,CUST1051,PROD007,2,28571.02,2024-08-10,FinMark BI Team
213,ENG10213,CUST1061,PROD010,1,65205.68,2024-06-22,FinMark BI Team
214,ENG10214,CUST1057,PROD013,1,66135.37,2022-03-13,FinMark BI Team
215,ENG10215,CUST1051,PROD017,3,59512.43,2025-04-28,FinMark BI Team
218,ENG10218,CUST1001,PROD011,3,56816.25,2022-04-17,FinMark BI Team
220,ENG10220,CUST1055,PROD019,3,49257.67,2024-12-01,FinMark BI Team
221,ENG10221,CUST1080,PROD004,2,24658.96,2024-06-01,FinMark BI Team
222,ENG10222,CUST1058,PROD019,2 units,44452.58,2022-05-19,FinMark BI Team
223,ENG10223,CUST1001,PROD011,2,44426.39,2023-09-07,FinMark BI Team
224,ENG10224,CUST1001,PROD008,2 units,23960.59,2024-05-12,FinMark BI Team
225,ENG10225,CUST1091,PROD011,1,40929.23,2022-09-30,FinMark BI Team
226,ENG10226,CUST1053,PROD004,3,26659.89,2023-02-20,FinMark BI Team
227,ENG10227,CUST1086,PROD017,2,68494.11,2023-05-21,FinMark BI Team
228,ENG10228,CUST1095,PROD007,2 units,76861.28,2024-01-03,FinMark BI Team
229,ENG10229,CUST1096,PROD008,1,24338.99,2023-02-28,FinMark BI Team
231,ENG10231,CUST1018,PROD002,3,51354.6,2023-01-25,FinMark BI Team
232,ENG10232,CUST1001,PROD015,2 units,37973.94,2022-12-08,FinMark BI Team
233,ENG10233,CUST1052,PROD005,2,24611.72,2024-08-03,FinMark BI Team
234,ENG10234,CUST1043,PROD001,3,50037.46,2023-09-06,FinMark BI Team
235,ENG10235,CUST1089,PROD004,2,67670.93,2023-05-08,FinMark BI Team
236,ENG10236,CUST1031,PROD015,1,62425.19,2022-07-11,FinMark BI Team
237,ENG10237,CUST1069,PROD020,2,23013.56,2023-05-14,FinMark BI Team
238,ENG10238,CUST1031,PROD019,2,24374.11,2024-04-01,FinMark BI Team
240,ENG10240,CUST1054,PROD020,2,37717.43,2022-08-15,FinMark BI Team
242,ENG10242,CUST1055,PROD017,1,36860.27,2022-05-19,FinMark BI Team
243,ENG10243,CUST1016,PROD013,3,68208.96,2024-05-05,FinMark BI Team
244,ENG10244,CUST1037,PROD011,3,75753.68,2024-03-27,FinMark BI Team
245,ENG10245,CUST1023,PROD002,2 units,44306.16,2025-03-18,FinMark BI Team
246,ENG10246,CUST1068,PROD009,2,74366.66,2025-02-12,FinMark BI Team
247,ENG10247,CUST1097,PROD002,1,39289.74,2024-12-22,FinMark BI Team
248,ENG10248,CUST1069,PROD009,3,48586.22,2022-04-14,FinMark BI Team
249,ENG10249,CUST1085,PROD009,1,33561.74,2024-05-20,FinMark BI Team
250,ENG10250,CUST1010,PROD008,2 units,58428.56,2023-10-30,FinMark BI Team
251,ENG10251,CUST1015,PROD017,2,78738.87,2022-09-30,FinMark BI Team
252,ENG10252,CUST1096,PROD001,3,56209.59,2024-10-26,FinMark BI Team
253,ENG10253,CUST1072,PROD011,2,41468.85,2025-03-16,FinMark BI Team
254,ENG10254,CUST1058,PROD008,2 units,58869.05,2022-07-03,FinMark BI Team
255,ENG10255,CUST1069,PROD010,2 units,27375.24,2024-11-17,FinMark BI Team
256,ENG10256,CUST1079,PROD007,1,73319.54,2025-02-16,FinMark BI Team
257,ENG10257,CUST1092,PROD003,3,50185.04,2022-10-20,FinMark BI Team
260,ENG10260,CUST1058,PROD005,2,57487.03,2025-05-26,FinMark BI Team
261,ENG10261,CUST1035,PROD012,1,24306.55,2022-06-26,FinMark BI Team
263,ENG10263,CUST1089,PROD019,2,34515.9,2022-02-27,FinMark BI Team
265,ENG10265,CUST1018,PROD002,2,69352.09,2022-11-04,FinMark BI Team
267,ENG10267,CUST1095,PROD019,2,53150.06,2024-09-03,FinMark BI Team
268,ENG10268,CUST1070,PROD005,3,51210.19,2025-02-02,FinMark BI Team
271,ENG10271,CUST1039,PROD017,2 units,36284.56,2023-12-01,FinMark BI Team
272,ENG10272,CUST1038,PROD010,3,49801.73,2022-03-24,FinMark BI Team
273,ENG10273,CUST1081,PROD017,3,37056.45,2025-04-24,FinMark BI Team
274,ENG10274,CUST1000,PROD015,2 units,28029.7,2022-09-09,FinMark BI Team
276,ENG10276,CUST1091,PROD016,2,23259.92,2024-03-06,FinMark BI Team
277,ENG10277,CUST1056,PROD019,2,64918.71,2024-06-15,FinMark BI Team
278,ENG10278,CUST1088,PROD008,2 units,39055.21,2022-07-29,FinMark BI Team
279,ENG10279,CUST1049,PROD017,1,20008.08,2024-03-26,FinMark BI Team
280,ENG10280,CUST1022,PROD005,2,50667.75,2023-09-01,FinMark BI Team
281,ENG10281,CUST1030,PROD016,3,22811.11,2023-03-23,FinMark BI Team
282,ENG10282,CUST1093,PROD006,1,36570.17,2023-04-05,FinMark BI Team
283,ENG10283,CUST1041,PROD008,1,62418.59,2024-08-25,FinMark BI Team
284,ENG10284,CUST1098,PROD018,2,23761.38,2023-04-17,FinMark BI Team
285,ENG10285,CUST1006,PROD012,2,70360.31,2023-01-05,FinMark BI Team
286,ENG10286,CUST1015,PROD015,1,20229.2,2024-06-18,FinMark BI Team
287,ENG10287,CUST1089,PROD009,1,34809.43,2024-07-11,FinMark BI Team
288,ENG10288,CUST1059,PROD013,2 units,64454.24,2022-05-17,FinMark BI Team
289,ENG10289,CUST1001,PROD015,3,38976.21,2023-01-02,FinMark BI Team
290,ENG10290,CUST1000,PROD010,2 units,26113.54,2024-06-30,FinMark BI Team
291,ENG10291,CUST1047,PROD016,2,41614.04,2022-07-03,FinMark BI Team
293,ENG10293,CUST1068,PROD017,2 units,70562.71,2023-04-17,FinMark BI Team
295,ENG10295,CUST1031,PROD014,2 units,67335.95,2023-10-16,FinMark BI Team
296,ENG10296,CUST1008,PROD015,3,73512.33,2024-01-19,FinMark BI Team
297,ENG10297,CUST1098,PROD007,3,46029.05,2023-06-21,FinMark BI Team
298,ENG10298,CUST1018,PROD009,1,74596.59,2024-03-12,FinMark BI Team
300,ENG10300,CUST1079,PROD016,2 units,77844.7,2024-07-08,FinMark BI Team
301,ENG10301,CUST1002,PROD008,1,25357.37,2023-05-25,FinMark BI Team
302,ENG10302,CUST1019,PROD018,1,61221.16,2023-09-22,FinMark BI Team
303,ENG10303,CUST1023,PROD018,1,49628.84,2024-09-28,FinMark BI Team
304,ENG10304,CUST1053,PROD020,3,43258.93,2025-01-01,FinMark BI Team
306,ENG10306,CUST1023,PROD003,2 units,62231.43,2024-07-04,FinMark BI Team
308,ENG10308,CUST1071,PROD010,2 units,30017.19,2024-10-30,FinMark BI Team
309,ENG10309,CUST1035,PROD007,2 units,62782.76,2025-05-19,FinMark BI Team
310,ENG10310,CUST1037,PROD017,1,59983.12,2022-06-01,FinMark BI Team
311,ENG10311,CUST1083,PROD014,2,77962.85,2024-10-25,FinMark BI Team
312,ENG10312,CUST1098,PROD003,2 units,65662.27,2025-05-03,FinMark BI Team
314,ENG10314,CUST1098,PROD013,2 units,62152.43,2023-04-09,FinMark BI Team
315,ENG10315,CUST1024,PROD002,1,37883.13,2025-02-10,FinMark BI Team
316,ENG10316,CUST1092,PROD003,3,26321.9,2022-09-28,FinMark BI Team
317,ENG10317,CUST1017,PROD005,1,66909.43,2025-04-01,FinMark BI Team
318,ENG10318,CUST1081,PROD011,2 units,58648.95,2023-04-05,FinMark BI Team
319,ENG10319,CUST1065,PROD008,3,22891.16,2022-04-15,FinMark BI Team
321,ENG10321,CUST1034,PROD007,2,77407.99,2022-06-11,FinMark BI Team
322,ENG10322,CUST1079,PROD015,3,50024.07,2022-12-17,FinMark BI Team
323,ENG10323,CUST1060,PROD017,3,45963.75,2023-03-10,FinMark BI Team
324,ENG10324,CUST1040,PROD004,1,47461.98,2024-05-01,FinMark BI Team
325,ENG10325,CUST1099,PROD013,3,32532.96,2022-05-20,FinMark BI Team
326,ENG10326,CUST1032,PROD018,1,42122.43,2025-03-01,FinMark BI Team
327,ENG10327,CUST1067,PROD001,2 units,42188.8,2022-03-28,FinMark BI Team
328,ENG10328,CUST1032,PROD016,1,23141.3,2022-07-02,FinMark BI Team
329,ENG10329,CUST1013,PROD013,3,66054.06,2023-01-03,FinMark BI Team
330,ENG10330,CUST1020,PROD010,3,44990.27,2022-05-09,FinMark BI Team
332,ENG10332,CUST1019,PROD002,3,71020.88,2023-11-01,FinMark BI Team
334,ENG10334,CUST1006,PROD010,2,59441.21,2022-05-29,FinMark BI Team
335,ENG10335,CUST1066,PROD002,2,48336.91,2024-09-11,FinMark BI Team
336,ENG10336,CUST1016,PROD013,2 units,72809.4,2024-05-01,FinMark BI Team
338,ENG10338,CUST1047,PROD018,2,60668.79,2023-09-20,FinMark BI Team
339,ENG10339,CUST1075,PROD003,1,56465.13,2023-03-22,FinMark BI Team
340,ENG10340,CUST1058,PROD007,3,37718.09,2024-06-02,FinMark BI Team
341,ENG10341,CUST1085,PROD014,2,28196.05,2022-10-21,FinMark BI Team
342,ENG10342,CUST1021,PROD020,2 units,59098.39,2025-03-12,FinMark BI Team
343,ENG10343,CUST1029,PROD017,2 units,64315.85,2022-09-07,FinMark BI Team
344,ENG10344,CUST1037,PROD012,2 units,38937.64,2024-05-27,FinMark BI Team
345,ENG10345,CUST1050,PROD016,2,58689.96,2024-08-05,FinMark BI Team
346,ENG10346,CUST1053,PROD012,1,43707.85,2024-09-01,FinMark BI Team
348,ENG10348,CUST1026,PROD010,1,31952.92,2024-11-14,FinMark BI Team
349,ENG10349,CUST1026,PROD007,1,73412.9,2024-02-28,FinMark BI Team
350,ENG10350,CUST1097,PROD020,3,37244.58,2024-09-10,FinMark BI Team
351,ENG10351,CUST1020,PROD005,3,42067.16,2024-06-07,FinMark BI Team
352,ENG10352,CUST1029,PROD001,2,23485.52,2024-06-08,FinMark BI Team
353,ENG10353,CUST1096,PROD017,2,26690.73,2022-03-11,FinMark BI Team
354,ENG10354,CUST1027,PROD003,2,50951.71,2023-09-17,FinMark BI Team
355,ENG10355,CUST1063,PROD013,2,36055.56,2024-05-24,FinMark BI Team
356,ENG10356,CUST1096,PROD014,2,70128.81,2025-02-09,FinMark BI Team
359,ENG10359,CUST1047,PROD018,2,40240.73,2023-04-16,FinMark BI Team
360,ENG10360,CUST1018,PROD005,2,21159.66,2022-04-01,FinMark BI Team
361,ENG10361,CUST1003,PROD016,1,27462.1,2023-06-14,FinMark BI Team
362,ENG10362,CUST1034,PROD001,2,44818.56,2023-10-23,FinMark BI Team
363,ENG10363,CUST1063,PROD014,1,49571.88,2024-01-09,FinMark BI Team
364,ENG10364,CUST1048,PROD015,1,44257.38,2023-12-27,FinMark BI Team
365,ENG10365,CUST1016,PROD009,3,51856.26,2024-05-21,FinMark BI Team
366,ENG10366,CUST1043,PROD015,2 units,55707.9,2022-07-11,FinMark BI Team
368,ENG10368,CUST1029,PROD004,2 units,47845.71,2022-05-18,FinMark BI Team
369,ENG10369,CUST1092,PROD012,2 units,77809.95,2022-12-11,FinMark BI Team
370,ENG10370,CUST1045,PROD005,2 units,51141.94,2025-04-18,FinMark BI Team
371,ENG10371,CUST1005,PROD005,2,60652.54,2024-10-05,FinMark BI Team
372,ENG10372,CUST1098,PROD011,3,38711.83,2023-05-18,FinMark BI Team
373,ENG10373,CUST1036,PROD006,2 units,66439.48,2022-07-22,FinMark BI Team
374,ENG10374,CUST1023,PROD007,1,66375.29,2023-07-27,FinMark BI Team
375,ENG10375,CUST1092,PROD014,2,51277.76,2022-07-11,FinMark BI Team
376,ENG10376,CUST1045,PROD011,3,78560.83,2022-01-05,FinMark BI Team
378,ENG10378,CUST1094,PROD002,1,21016.86,2022-11-07,FinMark BI Team
379,ENG10379,CUST1098,PROD007,3,66209.49,2023-07-03,FinMark BI Team
380,ENG10380,CUST1059,PROD020,3,68429.33,2022-02-25,FinMark BI Team
381,ENG10381,CUST1096,PROD004,2,27212.43,2023-03-19,FinMark BI Team
383,ENG10383,CUST1084,PROD020,2,21053.14,2024-05-19,FinMark BI Team
384,ENG10384,CUST1031,PROD019,2 units,37598.52,2025-05-05,FinMark BI Team
385,ENG10385,CUST1086,PROD013,2,66388.51,2023-08-08,FinMark BI Team
386,ENG10386,CUST1032,PROD014,1,51077.63,2024-01-22,FinMark BI Team
387,ENG10387,CUST1066,PROD010,2,40885.74,2022-12-26,FinMark BI Team
388,ENG10388,CUST1017,PROD011,1,42304.36,2024-03-29,FinMark BI Team
389,ENG10389,CUST1024,PROD002,2,20081.22,2022-01-30,FinMark BI Team
390,ENG10390,CUST1094,PROD009,3,37988.03,2022-04-18,FinMark BI Team
391,ENG10391,CUST1053,PROD017,2 units,58787.52,2024-04-23,FinMark BI Team
392,ENG10392,CUST1057,PROD003,1,78451.67,2023-12-18,FinMark BI Team
